Strain,Single_tel_length,Clade,variable,value
CHB,269.75,01.Wine_European,AHC2,0
CHD,394.75,01.Wine_European,AHC2,0
CGV,330,01.Wine_European,AHC2,0
CHA,289,01.Wine_European,AHC2,0
CHE,323.75,01.Wine_European,AHC2,0
BKM,316.5,01.Wine_European,AHC2,0
BIF,188.5,01.Wine_European,AHC2,0
BKG,515.125,01.Wine_European,AHC2,0
BKF,531.875,01.Wine_European,AHC2,0
BLL,264,01.Wine_European,AHC2,0
CKI,145.375,1.3.S_boulardii,AHC2,0
CKL,132.5,1.3.S_boulardii,AHC2,0
CKH,127.75,1.3.S_boulardii,AHC2,0
CKD,137.5,1.3.S_boulardii,AHC2,0
CKE,215.75,1.3.S_boulardii,AHC2,0
CIS,211.375,1.3.S_boulardii,AHC2,0
BMN,193,1.3.S_boulardii,AHC2,0
CIT,207.375,1.3.S_boulardii,AHC2,0
CKP,142.875,1.3.S_boulardii,AHC2,0
CKQ,187.375,1.3.S_boulardii,AHC2,0
CKB,173,1.3.S_boulardii,AHC2,0
CKC,193,1.3.S_boulardii,AHC2,0
CIN,153.375,1.3.S_boulardii,AHC2,0
CIR,226.625,1.3.S_boulardii,AHC2,0
CKF,172,1.3.S_boulardii,AHC2,0
CKG,153.375,1.3.S_boulardii,AHC2,0
CKM,158.875,1.3.S_boulardii,AHC2,0
BCA,244.875,1.3.S_boulardii,AHC2,0
AMT,181,1.3.S_boulardii,AHC2,0
CIV,183.25,1.3.S_boulardii,AHC2,0
CKT,194.875,1.3.S_boulardii,AHC2,0
BIL,448.625,01.Wine_European,AHC2,0
BNI,199.375,01.Wine_European,AHC2,0
BLV,226.375,01.Wine_European,AHC2,0
BQG,276.75,01.Wine_European,AHC2,0
CRD,212.25,01.Wine_European,AHC2,0
BVM,190.25,01.Wine_European,AHC2,0
CQV,257.75,01.Wine_European,AHC2,0
CRK,168.5,01.Wine_European,AHC2,0
BLF,180.875,01.Wine_European,AHC2,0
BNT,294.5,01.Wine_European,AHC2,0
BLD,221.625,01.Wine_European,AHC2,0
BKR,364.5,01.Wine_European,AHC2,0
CEC,210.875,01.Wine_European,AHC2,0
BNH,191.375,01.Wine_European,AHC2,0
BLC,204.5,01.Wine_European,AHC2,0
CEE,192.375,01.Wine_European,AHC2,0
BNN,269.75,01.Wine_European,AHC2,0
CED,198.75,01.Wine_European,AHC2,0
BKS,321.625,01.Wine_European,AHC2,0
BLP,277.375,01.Wine_European,AHC2,0
BLN,261.375,01.Wine_European,AHC2,0
CDV,237.375,01.Wine_European,AHC2,0
CEF,187.625,01.Wine_European,AHC2,0
ANQ,234.875,01.Wine_European,AHC2,0
AVK,200.5,01.Wine_European,AHC2,0
BIK,346.5,01.Wine_European,AHC2,0
BSG,237.875,01.Wine_European,AHC2,0
AKP,165.125,01.Wine_European,AHC2,0
AKV,166.875,01.Wine_European,AHC2,0
ALE,147.125,01.Wine_European,AHC2,0
BQP,269.125,01.Wine_European,AHC2,0
BRB,280.5,01.Wine_European,AHC2,0
BIT,384.25,01.Wine_European,AHC2,0
AQB,287.5,01.Wine_European,AHC2,0
BRH,201.625,01.Wine_European,AHC2,0
BIR,302.5,01.Wine_European,AHC2,0
AIM,201.75,01.Wine_European,AHC2,0
CHF,210.5,01.Wine_European,AHC2,0
BHB,174.375,01.Wine_European,AHC2,0
AHP,254.25,1.4.Georgian,AHC2,0
AQE,255.75,1.4.Georgian,AHC2,0
BPL,223,1.4.Georgian,AHC2,0
CAB,204.375,1.4.Georgian,AHC2,0
CAP,511.875,1.4.Georgian,AHC2,0
AQC,179.375,1.4.Georgian,AHC2,0
BVT,310.625,1.4.Georgian,AHC2,0
CAA,245.25,1.4.Georgian,AHC2,0
CAC,247.625,1.4.Georgian,AHC2,0
BVV,263.125,1.4.Georgian,AHC2,0
CAD,294.125,1.4.Georgian,AHC2,0
CAM,264.875,1.4.Georgian,AHC2,0
CAQ,259.625,1.4.Georgian,AHC2,0
CBB,550.75,1.4.Georgian,AHC2,0
CBE,272,1.4.Georgian,AHC2,0
CAS,305.25,1.4.Georgian,AHC2,0
CAR,301.25,1.4.Georgian,AHC2,0
CAT,292.5,1.4.Georgian,AHC2,0
CBC,356.375,1.4.Georgian,AHC2,0
CBD,287.625,1.4.Georgian,AHC2,0
ART,238.25,1.4.Georgian,AHC2,0
BSR,86.75,01.Wine_European,AHC2,0
BSS,463.125,01.Wine_European,AHC2,0
BTR,105.625,01.Wine_European,AHC2,0
BTP,358.625,01.Wine_European,AHC2,0
ASR,175.375,01.Wine_European,AHC2,0
CDT,398,02.Alpechin,AHC2,0
CPG,118.25,02.Alpechin,AHC2,0
AQA,346.125,02.Alpechin,AHC2,0
CGD,450.375,02.Alpechin,AHC2,0
CGE,429.75,02.Alpechin,AHC2,0
BRK,369.125,02.Alpechin,AHC2,0
AID,354.125,02.Alpechin,AHC2,0
AST,225.875,M1.Mosaic_Region_1,AHC2,0
BHD,196.375,M1.Mosaic_Region_1,AHC2,0
BHM,212.625,M1.Mosaic_Region_1,AHC2,0
BHT,181.5,M1.Mosaic_Region_1,AHC2,0
AMP,226.5,M1.Mosaic_Region_1,AHC2,0
BHL,230.875,M1.Mosaic_Region_1,AHC2,0
BHK,187.125,M1.Mosaic_Region_1,AHC2,0
BVC,351.375,03.Brazilian_Bioethanol,AHC2,0
CNQ,167.625,03.Brazilian_Bioethanol,AHC2,0
BTT,325.5,03.Brazilian_Bioethanol,AHC2,0
APH,300.75,03.Brazilian_Bioethanol,AHC2,0
BTV,478.5,03.Brazilian_Bioethanol,AHC2,0
BVA,699.625,03.Brazilian_Bioethanol,AHC2,0
CMT,204.875,03.Brazilian_Bioethanol,AHC2,0
CNG,184,03.Brazilian_Bioethanol,AHC2,0
CNK,289.25,03.Brazilian_Bioethanol,AHC2,0
CNM,186.625,03.Brazilian_Bioethanol,AHC2,0
CNP,192.375,03.Brazilian_Bioethanol,AHC2,0
CNR,160.625,03.Brazilian_Bioethanol,AHC2,0
BVB,451.375,03.Brazilian_Bioethanol,AHC2,0
CNI,277.125,03.Brazilian_Bioethanol,AHC2,0
CNH,373.25,03.Brazilian_Bioethanol,AHC2,0
BVH,333.25,03.Brazilian_Bioethanol,AHC2,0
CNN,159.5,03.Brazilian_Bioethanol,AHC2,0
CNF,428.75,03.Brazilian_Bioethanol,AHC2,0
CNB,427.375,03.Brazilian_Bioethanol,AHC2,0
BVG,1209.5,03.Brazilian_Bioethanol,AHC2,0
CNE,526.375,03.Brazilian_Bioethanol,AHC2,0
BVD,526.5,03.Brazilian_Bioethanol,AHC2,0
BVF,457.125,03.Brazilian_Bioethanol,AHC2,0
CNS,214.25,03.Brazilian_Bioethanol,AHC2,0
CNT,213.5,03.Brazilian_Bioethanol,AHC2,0
CCL,255.75,04.Mediterranean_oak,AHC2,0
BBQ,197.375,04.Mediterranean_oak,AHC2,0
BBS,214.375,04.Mediterranean_oak,AHC2,0
BFP,328.75,04.Mediterranean_oak,AHC2,1.1
BTG,326.5,04.Mediterranean_oak,AHC2,1.1
CLB,138.875,04.Mediterranean_oak,AHC2,0
BGM,277.25,05.French_Dairy,AHC2,0
BGP,224.5,05.French_Dairy,AHC2,0
BFH,405.75,05.French_Dairy,AHC2,0
ASN,270.125,05.French_Dairy,AHC2,0
BGK,326.125,05.French_Dairy,AHC2,0
BGD,577.75,05.French_Dairy,AHC2,0
BGI,292.25,05.French_Dairy,AHC2,0
ALD,227.25,05.French_Dairy,AHC2,0
BFS,287.625,05.French_Dairy,AHC2,0
BGB,294.75,05.French_Dairy,AHC2,0
BGF,229.75,05.French_Dairy,AHC2,0
BFT,246.125,05.French_Dairy,AHC2,0
BGE,259.875,05.French_Dairy,AHC2,0
BGL,277.75,05.French_Dairy,AHC2,0
BGA,268.75,05.French_Dairy,AHC2,0
BGT,242.5,05.French_Dairy,AHC2,0
BGV,231.875,05.French_Dairy,AHC2,0
BGH,289.25,05.French_Dairy,AHC2,0
BGN,407.25,05.French_Dairy,AHC2,0
BGC,266.625,05.French_Dairy,AHC2,0
BGQ,274.375,05.French_Dairy,AHC2,0
CKV,203.125,05.French_Dairy,AHC2,0
BDN,219,06.African_beer,AHC2,0
CER,190.75,06.African_beer,AHC2,0
BPN,233.5,99.Other,AHC2,0.1
CBN,275.25,07.Mosaic_beer,AHC2,0
AQG,411,07.Mosaic_beer,AHC2,0
CFF,115.25,07.Mosaic_beer,AHC2,0
AFP,288.5,07.Mosaic_beer,AHC2,0
ASB,212.5,07.Mosaic_beer,AHC2,0
CDM,304.875,M2.Mosaic_Region_2,AHC2,0
BCV,266,M2.Mosaic_Region_2,AHC2,0
BDB,266.25,M2.Mosaic_Region_2,AHC2,0
BDD,237.25,M2.Mosaic_Region_2,AHC2,0
BDH,231.5,M2.Mosaic_Region_2,AHC2,0
BHG,173.25,M2.Mosaic_Region_2,AHC2,0
BHH,186.25,M2.Mosaic_Region_2,AHC2,0
BHI,191.75,M2.Mosaic_Region_2,AHC2,0
ANP,237.25,08.Mixed_origin,AHC2,0
ATS,188.75,08.Mixed_origin,AHC2,0
BBP,199,08.Mixed_origin,AHC2,0
CDR,328,08.Mixed_origin,AHC2,0
AQI,320.75,08.Mixed_origin,AHC2,0
AFE,165.375,08.Mixed_origin,AHC2,0
ATR,175.375,08.Mixed_origin,AHC2,0
ASP,187.5,08.Mixed_origin,AHC2,0
BCS,276.875,08.Mixed_origin,AHC2,0
BCT,282.75,08.Mixed_origin,AHC2,0
BTC,272.25,08.Mixed_origin,AHC2,0
BBF,263.25,08.Mixed_origin,AHC2,0
AAP,243.75,08.Mixed_origin,AHC2,0
ALN,430.75,08.Mixed_origin,AHC2,0
CHI,286.125,08.Mixed_origin,AHC2,0
APL,295.625,08.Mixed_origin,AHC2,0
BDL,266.625,08.Mixed_origin,AHC2,0
ADM,409.625,08.Mixed_origin,AHC2,0
AKT,213.875,08.Mixed_origin,AHC2,0
CHG,303.75,08.Mixed_origin,AHC2,0
CHR,231.125,08.Mixed_origin,AHC2,0
CPI,194.5,09.Mexican_Agave,AHC2,0
CPM,358.875,09.Mexican_Agave,AHC2,0
CPK,206.5,09.Mexican_Agave,AHC2,0
CPL,357.875,09.Mexican_Agave,AHC2,0
CPN,299,09.Mexican_Agave,AHC2,0
ALI,207.25,99.Other,AHC2,0
BCG,254.75,10.French_Guiana_human,AHC2,0
BCB,197.5,10.French_Guiana_human,AHC2,0
BCM,266.375,10.French_Guiana_human,AHC2,0
BDT,211.125,10.French_Guiana_human,AHC2,0
BCF,318.875,10.French_Guiana_human,AHC2,0
BCL,260.875,10.French_Guiana_human,AHC2,0
BCD,219,10.French_Guiana_human,AHC2,0
BDP,219.875,10.French_Guiana_human,AHC2,0
BCC,202.5,10.French_Guiana_human,AHC2,0
BED,213.375,10.French_Guiana_human,AHC2,0
BCE,248.5,10.French_Guiana_human,AHC2,0
BCQ,244.125,10.French_Guiana_human,AHC2,0
BDV,237.375,10.French_Guiana_human,AHC2,0
BNB,314.625,10.French_Guiana_human,AHC2,0
BDR,202,10.French_Guiana_human,AHC2,0
BMV,215.875,10.French_Guiana_human,AHC2,0
BNA,215.25,10.French_Guiana_human,AHC2,0
BCH,216.25,10.French_Guiana_human,AHC2,0
BCP,239.125,10.French_Guiana_human,AHC2,0
BDS,221.5,10.French_Guiana_human,AHC2,0
BEA,223,10.French_Guiana_human,AHC2,0
BNC,191,10.French_Guiana_human,AHC2,0
BDQ,228.125,10.French_Guiana_human,AHC2,0
BEB,226,10.French_Guiana_human,AHC2,0
BCK,260.375,10.French_Guiana_human,AHC2,0
BMR,244.125,10.French_Guiana_human,AHC2,0
BEE,231.375,10.French_Guiana_human,AHC2,0
BND,185.875,10.French_Guiana_human,AHC2,0
CQS,312.25,99.Other,AHC2,0
BBM,192.125,99.Other,AHC2,0
CPA,104.375,99.Other,AHC2,0
AGB,40.875,11.Ale_beer,AHC2,0
AAC,361.75,11.Ale_beer,AHC2,0.1
CNC,265.75,M3.Mosaic_Region_3,AHC2,0
CBL,228.875,M3.Mosaic_Region_3,AHC2,0
AKI,183.625,M3.Mosaic_Region_3,AHC2,0
ATE,182.125,M3.Mosaic_Region_3,AHC2,0
CBM,270.875,M3.Mosaic_Region_3,AHC2,0
CLG,168.5,M3.Mosaic_Region_3,AHC2,0
CQC,184,12.West_African_cocoa,AHC2,0
CQD,209.625,12.West_African_cocoa,AHC2,0
CQG,249.125,12.West_African_cocoa,AHC2,0
CQI,169.375,12.West_African_cocoa,AHC2,0
CQH,218.125,12.West_African_cocoa,AHC2,0
CQL,384.75,12.West_African_cocoa,AHC2,0
ANN,208.125,12.West_African_cocoa,AHC2,0
CQM,348.5,12.West_African_cocoa,AHC2,0
CQE,200.5,12.West_African_cocoa,AHC2,0
CQK,334.25,12.West_African_cocoa,AHC2,0
CQF,186,12.West_African_cocoa,AHC2,0
CQN,391.875,12.West_African_cocoa,AHC2,0
CQP,314,M3.Mosaic_Region_3,AHC2,0
AKQ,214.75,M3.Mosaic_Region_3,AHC2,0
AKS,157.875,M3.Mosaic_Region_3,AHC2,0
ALG,156.375,M3.Mosaic_Region_3,AHC2,0
BTI,304.25,M3.Mosaic_Region_3,AHC2,0
CGB,331.75,M3.Mosaic_Region_3,AHC2,0
BSK,183.125,M3.Mosaic_Region_3,AHC2,0
BMD,296,M3.Mosaic_Region_3,AHC2,0
BRV,200.125,M3.Mosaic_Region_3,AHC2,0
CKA,218.125,M3.Mosaic_Region_3,AHC2,0
CHS,151.5,M3.Mosaic_Region_3,AHC2,0
CHT,132.5,M3.Mosaic_Region_3,AHC2,0
ATD,325.625,M3.Mosaic_Region_3,AHC2,0
CDD,336,M3.Mosaic_Region_3,AHC2,1.1
CDE,308.5,M3.Mosaic_Region_3,AHC2,1.1
CPC,128.875,M3.Mosaic_Region_3,AHC2,0
CKN,181.75,M3.Mosaic_Region_3,AHC2,0
CIG,118.25,M3.Mosaic_Region_3,AHC2,0
CIL,134.125,M3.Mosaic_Region_3,AHC2,0
CII,160.5,M3.Mosaic_Region_3,AHC2,0
CHQ,256.875,M3.Mosaic_Region_3,AHC2,1.1
AEL,363.625,M3.Mosaic_Region_3,AHC2,0.1
BIE,192.75,M3.Mosaic_Region_3,AHC2,0
CIH,241.875,M3.Mosaic_Region_3,AHC2,0
CIC,134.625,M3.Mosaic_Region_3,AHC2,0
CIF,179.875,M3.Mosaic_Region_3,AHC2,0
CID,123.5,M3.Mosaic_Region_3,AHC2,0
CHN,302.375,M3.Mosaic_Region_3,AHC2,0
CHP,274.875,M3.Mosaic_Region_3,AHC2,0
BDM,256.75,M3.Mosaic_Region_3,AHC2,0
CEQ,245.375,M3.Mosaic_Region_3,AHC2,0
BAF,207.5,13.African_palm_wine,AHC2,0
CFA,222.375,13.African_palm_wine,AHC2,0
CQA,227,13.African_palm_wine,AHC2,0
CQB,184.375,13.African_palm_wine,AHC2,0
AKG,205.25,13.African_palm_wine,AHC2,1.1
AKB,267.125,13.African_palm_wine,AHC2,0
AKE,206.75,13.African_palm_wine,AHC2,0
AKH,219,13.African_palm_wine,AHC2,0
APQ,295.875,13.African_palm_wine,AHC2,0
ATP,175.875,13.African_palm_wine,AHC2,0
BAM,195.625,14.CHNIII,AHC2,0
BAQ,190.375,14.CHNIII,AHC2,0
BAG,163,15.CHNII,AHC2,0
BAH,232.125,15.CHNII,AHC2,0
BAL,224.125,16.CHNI,AHC2,0
AMH,204.75,17.Taiwanese,AHC2,0
CEG,286,17.Taiwanese,AHC2,0
CEI,394.125,17.Taiwanese,AHC2,0
CCR,218.75,18.Far_East_Asia,AHC2,0
CCS,227.25,18.Far_East_Asia,AHC2,0
BAK,213,18.Far_East_Asia,AHC2,0
BAI,168.875,18.Far_East_Asia,AHC2,0
CCN,262.375,18.Far_East_Asia,AHC2,0
CDL,269.25,18.Far_East_Asia,AHC2,0
BMA,116.75,19.Malaysian,AHC2,0
AKM,134.75,19.Malaysian,AHC2,0
BMB,156.25,19.Malaysian,AHC2,0
BMC,166.125,19.Malaysian,AHC2,0
AMM,257.125,99.Other,AHC2,0
BAN,225,20.CHNV,AHC2,0
BAP,215.875,20.CHNV,AHC2,0
CMP,116.875,21.Ecuadorean,AHC2,0
CCC,283,21.Ecuadorean,AHC2,0
CCD,74,21.Ecuadorean,AHC2,0
CCE,241.125,21.Ecuadorean,AHC2,0
CCF,260.25,21.Ecuadorean,AHC2,0
CCG,106.375,21.Ecuadorean,AHC2,0
CCI,94.625,21.Ecuadorean,AHC2,0
CMQ,144.5,21.Ecuadorean,AHC2,0
BFA,305.75,99.Other,AHC2,0
BFL,317.25,99.Other,AHC2,0
AMB,199.5,99.Other,AHC2,0
AMC,163.5,99.Other,AHC2,0
CDQ,301,99.Other,AHC2,0
CDF,244.25,22.Russian,AHC2,0
CDG,341,22.Russian,AHC2,0
CDH,328,22.Russian,AHC2,0
CDI,267.625,22.Russian,AHC2,0
AMD,181.875,99.Other,AHC2,0
AMF,233.875,99.Other,AHC2,0
CEH,236.375,99.Other,AHC2,0
CCP,231.75,99.Other,AHC2,0
CDB,307.75,99.Other,AHC2,0
AVI,253.75,23.North_American,AHC2,0
ANF,192.5,23.North_American,AHC2,0
ANH,194,23.North_American,AHC2,0
ANC,223.625,23.North_American,AHC2,0
ANE,195.5,23.North_American,AHC2,0
ANG,182.25,23.North_American,AHC2,0
AND,223.125,23.North_American,AHC2,0
ANK,176.5,23.North_American,AHC2,0
ANI,256.25,23.North_American,AHC2,0
AKN,215,23.North_American,AHC2,0
BBR,196.25,99.Other,AHC2,0
CMS,120,99.Other,AHC2,0
CDP,271.875,99.Other,AHC2,0
AFK,192.75,24.Asian_islands,AHC2,0
CCT,318.375,24.Asian_islands,AHC2,0
CCV,250.375,24.Asian_islands,AHC2,0
ARG,256.25,24.Asian_islands,AHC2,0
CMH,314.375,25.Sake,AHC2,0
ARM,346.625,25.Sake,AHC2,0
CLI,194.125,25.Sake,AHC2,0
CMK,339,25.Sake,AHC2,0
CLN,220.5,25.Sake,AHC2,0
APA,340,25.Sake,AHC2,0
CMI,323.75,25.Sake,AHC2,0
ANS,300.75,25.Sake,AHC2,0
AQN,221.125,25.Sake,AHC2,0
APC,244.875,25.Sake,AHC2,0
CLP,197.625,25.Sake,AHC2,0
APF,250.5,25.Sake,AHC2,0
CLS,204.875,25.Sake,AHC2,0
CLL,146.75,25.Sake,AHC2,0
CLR,134.375,25.Sake,AHC2,0
CGL,308.75,26.Asian_fermentation,AHC2,0
AGG,49.625,26.Asian_fermentation,AHC2,0
AEP,235,26.Asian_fermentation,AHC2,0
CGI,232.5,26.Asian_fermentation,AHC2,0
CGN,374.25,26.Asian_fermentation,AHC2,0
CGP,409.875,26.Asian_fermentation,AHC2,0
CGG,198.75,26.Asian_fermentation,AHC2,0
CGR,359.375,26.Asian_fermentation,AHC2,0
BEH,205.25,26.Asian_fermentation,AHC2,0
AKL,245.5,26.Asian_fermentation,AHC2,0
ALB,193.375,26.Asian_fermentation,AHC2,0
AKR,183.625,26.Asian_fermentation,AHC2,0
ALC,180,26.Asian_fermentation,AHC2,0
ALH,141.125,26.Asian_fermentation,AHC2,0
ALA,129.25,26.Asian_fermentation,AHC2,0
CGQ,259.125,26.Asian_fermentation,AHC2,0
CGK,295.125,26.Asian_fermentation,AHC2,0
CHM,212,26.Asian_fermentation,AHC2,0
BHP,182.5,26.Asian_fermentation,AHC2,0
BHQ,175.875,26.Asian_fermentation,AHC2,0
BHR,178.375,26.Asian_fermentation,AHC2,0
BHS,161.125,26.Asian_fermentation,AHC2,0
BEF,205,26.Asian_fermentation,AHC2,0
CEK,213.5,26.Asian_fermentation,AHC2,0
CEL,111,26.Asian_fermentation,AHC2,0
BFC,344.375,01.Wine_European,HKR1,0
BKI,269.125,01.Wine_European,HKR1,0
BNV,198.75,01.Wine_European,HKR1,0
BPB,276.5,01.Wine_European,HKR1,0
BPT,285.375,01.Wine_European,HKR1,0
BQM,390,01.Wine_European,HKR1,0
BFK,164.5,01.Wine_European,HKR1,1.1
BQS,301.75,01.Wine_European,HKR1,0
BQE,200.125,01.Wine_European,HKR1,0
AIN,324,01.Wine_European,HKR1,0
BQR,449.875,01.Wine_European,HKR1,0
BLT,123.875,01.Wine_European,HKR1,0
AIF,237.625,01.Wine_European,HKR1,0.1
BPF,101.625,01.Wine_European,HKR1,0
BLR,205.875,01.Wine_European,HKR1,0
BNL,269.375,01.Wine_European,HKR1,0
BPK,182.5,01.Wine_European,HKR1,0
BKQ,268.75,01.Wine_European,HKR1,0
