Fraction_CN>1,Gene,Clade
0.1,COS10,13.African_palm_wine
0,COS10,14.CHNIII
0,COS10,15.CHNII
0,COS10,16.CHNI
1,COS10,17.Taiwanese
0,COS10,18.Far_East_Asia
0,COS10,19.Malaysian
0,COS10,20.CHNV
0,COS10,21.Ecuadorean
0,COS10,22.Russian
0,COS10,23.North_American
0.5,COS10,24.Asian_islands
0,COS10,25.Sake
0,COS10,26.Asian_fermentation
0.1308900524,RPL7B,01.Wine_European
0.0625,RPL7B,1.1.Semi_wild
0.3333333333,RPL7B,1.2_Clin_teldef
0.619047619,RPL7B,1.3.S_boulardii
0.2857142857,RPL7B,1.4.Georgian
0.1428571429,RPL7B,02.Alpechin
0,RPL7B,M1.Mosaic_Region_1
0.44,RPL7B,03.Brazilian_Bioethanol
0.1666666667,RPL7B,04.Mediterranean_oak
0,RPL7B,05.French_Dairy
0,RPL7B,06.African_beer
0.2105263158,RPL7B,99.Other
0,RPL7B,07.Mosaic_beer
0.125,RPL7B,M2.Mosaic_Region_2
0,RPL7B,08.Mixed_origin
0.4,RPL7B,09.Mexican_Agave
0,RPL7B,10.French_Guiana_human
0.5,RPL7B,11.Ale_beer
0.3513513514,RPL7B,M3.Mosaic_Region_3
0.1666666667,RPL7B,12.West_African_cocoa
0.3,RPL7B,13.African_palm_wine
0,RPL7B,14.CHNIII
0,RPL7B,15.CHNII
0,RPL7B,16.CHNI
0,RPL7B,17.Taiwanese
0,RPL7B,18.Far_East_Asia
0,RPL7B,19.Malaysian
0,RPL7B,20.CHNV
0.875,RPL7B,21.Ecuadorean
0,RPL7B,22.Russian
0.1,RPL7B,23.North_American
0,RPL7B,24.Asian_islands
0.2,RPL7B,25.Sake
0.04,RPL7B,26.Asian_fermentation
